Year,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Population Estimate,Region
2019,Paraguay,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184,7019323,Latin America & Caribbean
2018,Germany,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,102063722,Europe & Central Asia
2016,El Salvador,46,6.068,6.169,0.8737,0.80975,0.596,0.37269,0.10613,7441352,Latin America & Caribbean
2018,New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365,4721443,East Asia & Pacific
2017,New Zealand,8,7.31400012969971,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,4670073,East Asia & Pacific
2019,Morocco,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036,37888327,Middle East & North Africa
2017,Philippines,72,5.42999982833862,5.31466460242867,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,99766788,East Asia & Pacific
2018,United Kingdom,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262,73917008,Europe & Central Asia
2017,Ethiopia,119,4.46000003814697,4.377271399647,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,78815294,Sub-Saharan Africa
2019,India,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,1260422331,South Asia
2015,Liberia,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,3236756,Sub-Saharan Africa
